cty_st,tweets_2010,tweets_2011,tweets_2012,tweets_2013,tweets_2014,tweets_2015,tweets_2016,tweets_2017,tweets_2018,tweets_2019,Ctyname,Stname,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019
"Berks County,Pennsylvania",2.0,4.0,15.0,6.0,19.0,32.0,22.0,90.0,21.0,24.0,Berks County,Pennsylvania,33,26,20,19,150,583,463,142,279,235
"Berkshire County,Massachusetts",2.0,0.0,11.0,15.0,8.0,12.0,46.0,10.0,9.0,12.0,Berkshire County,Massachusetts,132,113,90,127,84,88,4,8,0,0
"Bernalillo County,New Mexico",12.0,50.0,43.0,23.0,32.0,71.0,82.0,184.0,40.0,33.0,Bernalillo County,New Mexico,4,1,1,3,0,0,0,0,0,5
"Berrien County,Michigan",0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,6.0,Berrien County,Michigan,8,8,6,11,20,29,23,28,25,28
"Bexar County,Texas",28.0,32.0,60.0,50.0,41.0,56.0,74.0,122.0,93.0,64.0,Bexar County,Texas,0,2,0,1,0,7,5,4,2,0
"Bibb County,Alabama",0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Bibb County,Alabama,0,0,0,0,1,0,0,0,1,0
"Bibb County,Georgia",1.0,1.0,1.0,1.0,1.0,10.0,3.0,7.0,12.0,8.0,Bibb County,Georgia,0,1,1,0,0,0,0,1,0,0
"Big Horn County,Montana",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Big Horn County,Montana,0,0,0,0,0,0,0,1,0,0
"Bingham County,Idaho",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Bingham County,Idaho,1,0,0,0,0,0,2,0,0,0
"Black Hawk County,Iowa",0.0,6.0,3.0,16.0,13.0,81.0,60.0,31.0,7.0,7.0,Black Hawk County,Iowa,1,3,5,6,2,8,3,7,4,5
"Blackford County,Indiana",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Blackford County,Indiana,0,0,0,0,0,0,0,0,0,0
"Bladen County,North Carolina",1.0,0.0,3.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,Bladen County,North Carolina,0,0,1,5,0,0,2,0,0,1
"Blaine County,Idaho",0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,Blaine County,Idaho,0,0,0,2,0,2,3,2,2,1
